name_,category_,team_,birthdate_
 内田 健太,J2,山形,1989/10/02
 佐々木 翔,J1,広島,1989/10/02
 内田 健太,J1,山形,1989/10/02
 梅井 大輝,J3,相模原,1989/10/05
 キム ボギョン,J1,柏,1989/10/06
 川又 堅碁,J1,磐田,1989/10/14
 黒木 聖仁,J1,長崎,1989/10/24
 山本 康裕,J1,磐田,1989/10/29
 アレックス ムラーリャ,J2,新潟,1989/11/10
 花井 聖,J3,北九州,1989/11/10
 清武 弘嗣,J1,C大阪,1989/11/12
 上福元 直人,J2,東京V,1989/11/17
 林堂 眞,J2,愛媛,1989/11/21
 山田 拓巳,J2,山形,1989/11/25
 輪湖 直樹,J2,福岡,1989/11/26
 エウシーニョ,J1,川崎F,1989/11/30
 山村 和也,J1,C大阪,1989/12/02
 パウロン,J2,栃木,1989/12/04
 大前 元紀,J2,大宮,1989/12/10
 五領 淳樹,J3,鹿児島,1989/12/13
 チョン ウヨン,J1,神戸,1989/12/14
 村松 大輔,J3,北九州,1989/12/16
 町田 也真人,J2,千葉,1989/12/19
 朴 一圭,J3,琉球,1989/12/22
 田中 恵太,J2,水戸,1989/12/26
 田中 謙吾,J3,長野,1989/12/30
 杉本 拓也,J3,藤枝,1989/12/31
 柿谷 曜一朗,J1,C大阪,1990/01/03
 オ ジェソク,J1,G大阪,1990/01/04
 関戸 健二,J2,岡山,1990/01/07
 八反田 康平,J1,名古屋,1990/01/08
 石津 大介,J2,福岡,1990/01/15
 北井 佑季,J3,相模原,1990/01/27
 金井 貢史,J1,名古屋,1990/02/05
 ティーラトン,J1,神戸,1990/02/06
 ユン ソギョン,J1,柏,1990/02/13
 吉田 豊,J1,鳥栖,1990/02/17
 水本 勝成,J3,鹿児島,1990/02/19
 日髙 慶太,J3,秋田,1990/02/19
 水沼 宏太,J1,C大阪,1990/02/22
 山岡 哲也,J3,鹿児島,1990/03/04
 奥井 諒,J2,大宮,1990/03/07
 レオミネイロ,J2,福岡,1990/03/10
 大津 祐樹,J1,横浜FM,1990/03/24
 ファブリシオ,J1,浦和,1990/03/28
 中里 崇宏,J2,横浜FC,1990/03/29
 河野 広貴,J1,鳥栖,1990/03/30
 岸田 和人,J2,山口,1990/04/03
 岸田 翔平,J2,大分,1990/04/03
 齋藤 学,J1,川崎F,1990/04/04
 田邉 草民,J1,FC東京,1990/04/06
 田邉 草民,J3,FC東京,1990/04/06
 越智 亮介,J3,藤枝,1990/04/07
 大塚 翔平,J3,相模原,1990/04/11
 藤原 広太朗,J2,徳島,1990/04/17
 富田 康仁,J3,沼津,1990/04/18
 ドゥドゥ,J2,福岡,1990/04/21
 富所 悠,J3,琉球,1990/04/21
 瀬川 和樹,J2,山口,1990/04/25
 岩渕 良太,J3,藤枝,1990/04/26
 田中 裕人,J2,愛媛,1990/04/26
 高橋 峻希,J1,神戸,1990/05/04
 工藤 壮人,J1,広島,1990/05/06
 フェリペ アウベス,J2,山形,1990/05/06
 平 智広,J2,東京V,1990/05/10
 菅沼 駿哉,J1,G大阪,1990/05/17
 菅沼 駿哉,J3,G大阪,1990/05/17
 濱田 水輝,J2,岡山,1990/05/18
 ビクトル イバルボ,J1,鳥栖,1990/05/19
 安 柄俊,J2,熊本,1990/05/22
 島川 俊郎,J2,甲府,1990/05/28
 フェリペ シウバ,J1,広島,1990/05/28
 岡﨑 建哉,J2,栃木,1990/05/31
 端戸 仁,J1,湘南,1990/05/31
 ナタン ヒベイロ,J1,柏,1990/06/02
 阪野 豊史,J2,山形,1990/06/04
 阿渡 真也,J3,藤枝,1990/06/07
 ディエゴ オリヴェイラ,J1,FC東京,1990/06/22
 岡本 知剛,J2,松本,1990/06/29
 新里 亮,J1,磐田,1990/07/02
 山田 直輝,J1,浦和,1990/07/04
 東 慶悟,J1,FC東京,1990/07/20
 蜂須賀 孝治,J1,仙台,1990/07/20
 沼田 圭悟,J2,金沢,1990/07/24
 和田 拓也,J1,広島,1990/07/28
 守田 達弥,J2,松本,1990/08/03
 橋爪 勇樹,J2,甲府,1990/08/10
 青木 翔大,J3,沼津,1990/08/11
 瀬沼 優司,J2,横浜FC,1990/09/01
 砂森 和也,J3,沼津,1990/09/02
 丸橋 祐介,J1,C大阪,1990/09/02
 井林 章,J2,東京V,1990/09/05
 中村 充孝,J1,鹿島,1990/09/13
 三田 啓貴,J1,神戸,1990/09/14
 畑尾 大翔,J1,大宮,1990/09/16
 畑尾 大翔,J2,大宮,1990/09/16
 牟田 雄祐,J2,京都,1990/09/22
 武富 孝介,J1,浦和,1990/09/23
 佐藤 和弘,J2,甲府,1990/09/28
 久富 賢,J3,秋田,1990/09/29
 キム スンギュ,J1,神戸,1990/09/30
 市川 恵多,J3,群馬,1990/10/03
 山田 樹,J3,秋田,1990/10/05
 山口 蛍,J1,C大阪,1990/10/06
 中原 秀人,J3,鹿児島,1990/10/29
 佐藤 優平,J2,東京V,1990/10/29
 新井 涼平,J2,甲府,1990/11/03
 西口 諒,J3,長野,1990/11/04
 登里 享平,J1,川崎F,1990/11/13
 ファンマ,J1,長崎,1990/11/17
